case_id,provider,backend,top_k,threshold,category,question,expected_sources,retrieved_sources,retrieved_count,source_hit,recall_at_k,reference_coverage,average_similarity,latency_ms,status,error
4,hash,in_memory_exact_cosine,5,0.3,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,3.541,ok,
5,hash,in_memory_exact_cosine,5,0.3,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,4.106,ok,
6,hash,in_memory_exact_cosine,5,0.3,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,3.38,ok,
7,hash,in_memory_exact_cosine,5,0.3,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,2.869,ok,
8,hash,in_memory_exact_cosine,5,0.3,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,2.804,ok,
9,hash,in_memory_exact_cosine,5,0.3,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,2.765,ok,
10,hash,in_memory_exact_cosine,5,0.3,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,3.294,ok,
1,hash,in_memory_exact_cosine,10,0.3,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,4.019,ok,
2,hash,in_memory_exact_cosine,10,0.3,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,2.992,ok,
3,hash,in_memory_exact_cosine,10,0.3,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,2.874,ok,
4,hash,in_memory_exact_cosine,10,0.3,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,2.757,ok,
5,hash,in_memory_exact_cosine,10,0.3,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,2.855,ok,
6,hash,in_memory_exact_cosine,10,0.3,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,3.781,ok,
7,hash,in_memory_exact_cosine,10,0.3,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,2.802,ok,
8,hash,in_memory_exact_cosine,10,0.3,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,2.818,ok,
9,hash,in_memory_exact_cosine,10,0.3,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,2.82,ok,
10,hash,in_memory_exact_cosine,10,0.3,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,3.104,ok,
1,hash,in_memory_exact_cosine,3,0.4,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,3.649,ok,
2,hash,in_memory_exact_cosine,3,0.4,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,2.908,ok,
3,hash,in_memory_exact_cosine,3,0.4,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,2.772,ok,
4,hash,in_memory_exact_cosine,3,0.4,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,2.794,ok,
5,hash,in_memory_exact_cosine,3,0.4,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,2.765,ok,
6,hash,in_memory_exact_cosine,3,0.4,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,3.207,ok,
7,hash,in_memory_exact_cosine,3,0.4,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,3.73,ok,
8,hash,in_memory_exact_cosine,3,0.4,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,2.921,ok,
9,hash,in_memory_exact_cosine,3,0.4,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,3.077,ok,
10,hash,in_memory_exact_cosine,3,0.4,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,2.811,ok,
1,hash,in_memory_exact_cosine,5,0.4,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,3.047,ok,
2,hash,in_memory_exact_cosine,5,0.4,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,2.783,ok,
3,hash,in_memory_exact_cosine,5,0.4,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,2.859,ok,
4,hash,in_memory_exact_cosine,5,0.4,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,2.832,ok,
5,hash,in_memory_exact_cosine,5,0.4,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,2.748,ok,
6,hash,in_memory_exact_cosine,5,0.4,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,2.811,ok,
7,hash,in_memory_exact_cosine,5,0.4,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,3.262,ok,
8,hash,in_memory_exact_cosine,5,0.4,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,2.794,ok,
9,hash,in_memory_exact_cosine,5,0.4,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,2.777,ok,
10,hash,in_memory_exact_cosine,5,0.4,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,2.898,ok,
1,hash,in_memory_exact_cosine,10,0.4,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,2.828,ok,
2,hash,in_memory_exact_cosine,10,0.4,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,3.196,ok,
3,hash,in_memory_exact_cosine,10,0.4,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,2.855,ok,
4,hash,in_memory_exact_cosine,10,0.4,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,2.79,ok,
5,hash,in_memory_exact_cosine,10,0.4,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,2.769,ok,
6,hash,in_memory_exact_cosine,10,0.4,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,2.761,ok,
7,hash,in_memory_exact_cosine,10,0.4,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,2.843,ok,
8,hash,in_memory_exact_cosine,10,0.4,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,3.071,ok,
9,hash,in_memory_exact_cosine,10,0.4,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,2.863,ok,
10,hash,in_memory_exact_cosine,10,0.4,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,2.871,ok,
